folder_path,shuffles_missing,model_size
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/world_helpful_high_scale,10,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/world_mislead_low_scale,10,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/sent_helpful_low_scale,10,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/sent_helpful_high_scale,9,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/ordinal_mislead_low_neg_scale,10,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/ordinal_mislead_high_neg_scale,7,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/alphanumeric_low_neg_scale,4,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/ordinal_helpful_high_scale,8,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/world_mislead_high_neg_scale,1,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/sent_mislead_high_neg_scale,9,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/world_helpful_high_neg_scale,3,13B
experiments/20260118_farm_novar/model_name_Llama2-13B_prompt_fullhist/sent_helpful_high_neg_scale,10,13B
experiments/20260118_farm_novar/model_name_Llama3-8B_prompt_fullhist/world_helpful_high_neg_scale,1,8B
experiments/20260118_farm_novar/model_name_Llama3-8B_prompt_summhist/sent_mislead_high_neg_scale,8,8B
